Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.3406E-17,-1.0726E-17,0.33989,0,0,0,133.48,21.073,-6.2249E-16,-2.239E-15,21.073,2.4728E-16,10.222,0,0,0,0,0,0,package://camera_crane/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://camera_crane/meshes/base_link.STL,,Part1_Base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,3.1293E-16,8.6381E-17,0.84322,0,0,0,168.59,32.382,1.0083E-16,2.7814E-14,32.382,1.088E-14,3.1727,0,0,0,0,0,0,package://camera_crane/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://camera_crane/meshes/link_1.STL,,Part2_Slider-1,Coordinate System1,Axis1,joint_1,prismatic,0,0,0,0,0,0,base_link,0,0,1,100,0.2,0,0.85,,,,,,,,
link_2,1.4976E-05,-1.3318E-05,0.041405,0,0,0,17.308,0.28255,1.3828E-05,-2.804E-05,0.27757,2.4111E-05,0.50008,0,0,0,0,0,0,package://camera_crane/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://camera_crane/meshes/link_2.STL,,Part3_Turret-1,Coordinate System2,Axis2,joint_2,revolute,0,0,1.56,0,0,0,link_1,0,0,1,50,0.2,-3.14,3.14,,,,,,,,
link_3,0.001,0.2049,-6.2436E-09,0,0,0,4.6119,0.12391,-8.6564E-17,-1.4476E-18,0.0075944,1.701E-20,0.12501,0,0,0,0,0,0,package://camera_crane/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://camera_crane/meshes/link_3.STL,,Part4_Upperarm-1,Coordinate System3,Axis3,joint_3,revolute,0,0,0.165,1.5708,-1.5708,0,link_2,0,0,-1,50,0.2,-3.14,0,,,,,,,,
link_4,1.726,0.67276,-0.004,0,0,0,0.91968,0.012366,-9.5234E-18,3.7157E-20,0.0003841,-2.4202E-18,0.012335,0,0,0,0,0,0,package://camera_crane/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://camera_crane/meshes/link_4.STL,,part5_forearm-1,Coordinate System4,Axis4,joint_4,revolute,-1.725,0,0,0,0,0,link_3,0,0,-1,50,0.2,-1.57,1.57,,,,,,,,
link_5,-1.6689,-0.004,0.98658,0,0,0,0.29496,0.0020044,4.7826E-20,-0.00038064,0.0022345,-2.8938E-19,0.0013232,0,0,0,0,0,0,package://camera_crane/meshes/link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://camera_crane/meshes/link_5.STL,,Part6_gimbal-1,Coordinate System5,Axis5,joint_5,revolute,0,0,0,1.5708,0,3.1416,link_4,0,0,-1,50,0.2,-3.14,3.14,,,,,,,,
link_6,1.742,1.0383,-0.004,0,0,0,1.1437,0.0021183,-7.7159E-19,1.8186E-20,0.00204,-7.9639E-20,0.0021099,0,0,0,0,0,0,package://camera_crane/meshes/link_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://camera_crane/meshes/link_6.STL,,Part7_camera-1,Coordinate System6,Axis6,joint_6,revolute,0,0,0,1.5708,0,3.1416,link_5,0,0,-1,50,0.2,-3.14,3.14,,,,,,,,
